Sector_score,LOCATION_ID,PARA_A,PARA_B,TOTAL,numbers,Money_Value,District,LOSS_SCORE,History_score,Risk
1.99,5,0.29,0,0.29,5,0.06,2,2,2,0
2.72,9,0,0,0,5,0,2,2,2,0
3.41,36,0.07,0,0.07,5,0,2,2,2,0
2.72,15,2.68,38.32,41,5,7.17,2,2,2,1
55.57,9,0.88,0.54,1.42,5,0.11,2,2,0,0
3.41,2,1.35,66.35,67.7,5.5,27.13,2,2,6,1
3.89,2,0.74,1,1.74,5,0,2,2,2,0
21.61,8,0.38,0.48,0.86,5,0.33,2,2,2,0
2.72,19,1.64,0.19,1.83,5,1.59,2,2,2,1
2.72,4,0,0,0,5,0,2,2,2,0
3.89,15,7.18,14.63,21.81,5,98.75,2,2,2,1
2.37,32,0,0,0,5,0,2,2,2,0
2.37,31,0,0,0,5,0,2,2,2,0
59.85,11,0,0,0,5,0.7,2,2,2,0
55.57,19,0.24,0,0.24,5,0,2,2,0,0
3.41,19,1.64,46.21,47.85,5,2.45,2,2,2,1
55.57,9,0.92,0,0.92,5,0,2,2,0,0
2.72,11,3.11,113.97,117.08,5.5,26.64,2,2,2,1
3.89,20,9.01,19.82,28.83,5,9.67,2,2,2,1
3.89,6,0,10.8,10.8,6,11.75,2,2,2,1
2.72,19,3.66,15.47,19.13,5,1.43,2,2,2,1
3.89,13,0,0.06,0.06,5,0,2,2,2,0
59.85,13,0.48,0,0.48,5,0,2,2,2,0
3.89,33,2.57,4.49,7.06,5,7.56,2,2,4,1
3.89,6,0,0.23,0.23,5,0,2,2,2,0
21.61,8,0.29,0.33,0.62,5,0,2,2,2,0
55.57,5,0,0,0,5,0,2,2,0,0
59.85,9,0,0,0,5,0.19,2,2,2,0
3.41,5,10,47.9,57.9,5,7.7,2,2,2,1
2.37,16,0.01,0.007,0.017,5,0,2,2,2,0
3.41,15,2.86,17.09,19.95,5.5,6.88,2,2,2,1
55.57,22,0.07,0,0.07,5,0,2,2,0,0
2.72,39,2.81,4.6,7.41,5,8.44,2,2,2,1
3.89,11,0,0.08,0.08,5,0.68,2,2,2,0
2.72,2,3.26,5.55,8.81,5,0.21,6,2,2,1
2.72,20,4.97,42.19,47.16,5.5,45.37,2,2,2,1
3.89,5,0,1.76,1.76,5,1.08,2,2,2,0
3.89,5,0,2.97,2.97,5,2.84,2,2,2,0
21.61,22,0.37,0.46,0.83,5,0,2,2,2,0
2.72,4,5.65,67.16,72.81,6,27.23,2,2,2,1
3.41,40,10.37,105.56,115.93,9,52.13,2,2,2,1
3.89,21,0,20.71,20.71,5,20.79,2,2,6,1
3.89,14,6.85,31.76,38.61,5,1.46,2,2,2,1
3.89,29,12.27,72.46,84.73,5,5.69,2,2,2,1
59.85,43,0,0,0,5,0,2,2,2,0
55.57,5,0,0,0,5,0.01,2,2,0,0
59.85,9,0.3,0,0.3,5,0,2,2,2,0
55.57,25,0.56,0,0.56,5,0,2,2,2,0
59.85,4,0.01,0,0.01,5,0.6,2,2,2,0
3.89,3,0.02,5.94,5.96,5,0.01,2,2,2,1
2.72,19,0.85,0,0.85,5,0,2,2,2,0
3.89,6,0,4.83,4.83,5,0.94,2,2,2,0
2.37,18,0.09,0,0.09,5,0,2,2,2,0
2.37,12,0.39,0.14,0.53,5,0.58,2,2,2,0
2.72,11,3.51,52.89,56.4,5,4.26,2,2,2,1
3.89,12,0,0.03,0.03,5,0.06,2,2,2,0
3.89,11,14.04,10.83,24.87,5,8.91,2,2,2,1
3.41,11,6.31,19.42,25.73,5.5,13.88,2,2,2,1
59.85,15,0,0,0,5,2.39,2,2,2,0
3.41,31,12.62,80.06,92.68,5.5,43.53,4,2,2,1
2.37,6,0.39,0.47,0.86,5,0,2,2,2,0
3.89,12,0,0.79,0.79,5,15.82,2,2,2,1
3.89,37,4.86,46.78,51.64,5.5,63.18,2,2,2,1
3.41,31,0.17,0,0.17,5,0,2,2,2,0
3.89,6,0,0.83,0.83,5,2.95,2,2,2,0
3.41,29,1.1,87.71,88.81,5.5,34.32,2,2,2,1
1.99,6,0.9,0,0.9,5,1.95,2,2,2,0
3.41,4,4.13,16.74,20.87,5,44.02,2,2,2,1
3.89,32,4.93,6.54,11.47,5.5,12.91,4,2,2,1
3.89,9,6.32,9.01,15.33,5,8.31,2,2,2,1
3.41,12,1.07,0,1.07,5,0,6,2,2,1
3.89,19,0,1.03,1.03,5,2.43,2,2,2,0
3.89,4,7.42,2.24,9.66,5,1.25,2,2,2,1
3.89,31,1.99,10.24,12.23,5,20.78,2,2,2,1
3.41,9,6.93,70.26,77.19,5,9.73,2,2,2,1
55.57,4,0.28,0.25,0.53,5,0,2,2,0,0
3.89,16,6.47,12.18,18.65,5,25.27,6,2,2,1
3.89,14,0,1.03,1.03,5,0,2,2,2,0
21.61,14,0,0,0,5,0,2,2,2,0
3.41,32,12.54,31.62,44.16,5,54.07,2,2,2,1
2.72,9,3.99,92.05,96.04,5,15.14,2,2,4,1
3.89,32,0,0.85,0.85,5,0,4,2,2,1
59.85,4,0.15,0,0.15,5,0.05,2,2,2,0
3.89,6,0,0.08,0.08,5,0,2,2,2,0
3.41,9,12.28,20.62,32.9,5,10.16,2,2,4,1
2.72,8,5.61,99.33,104.94,6.5,76.47,2,2,2,1
3.89,16,0,1.66,1.66,5,0.76,6,2,2,1
2.72,13,3.84,144.39,148.23,5,19.68,2,4,4,1
2.72,15,2.13,42.64,44.77,5,18.24,2,2,2,1
55.57,29,0.6,0.46,1.06,5,0,2,2,2,0
55.57,4,0.26,0.21,0.47,5,0.05,2,2,2,0
2.72,16,3.26,2.81,6.07,6,21.6,4,2,2,1
3.41,9,17.26,44.22,61.48,5,27.68,2,2,4,1
2.37,19,0.84,0.06,0.9,5,0.72,2,2,2,0
55.57,14,0.21,0,0.21,5,0,2,2,0,0
2.72,12,7.07,35.48,42.55,5,8.76,2,2,2,1
2.37,16,0.17,0.04,0.21,5,0,2,2,2,0
3.89,8,10,74.26,84.26,5.5,11.16,2,2,6,1
55.57,9,0.21,0,0.21,5,0,2,2,0,0
3.41,30,1.15,20.1,21.25,6,21.45,2,2,2,1
3.89,8,0,0.84,0.84,5,0.007,2,2,2,0
2.72,18,5.11,53.76,58.87,6,48.56,2,2,6,1
2.72,19,2.13,0.59,2.72,5,0.76,2,2,2,1
2.72,22,3.22,55.64,58.86,5,80.8,2,4,2,1
55.57,9,0,0,0,5,0,2,2,0,0
2.37,4,0,0,0,5,0.05,2,2,2,0
3.89,9,0,1.61,1.61,5,2.51,2,2,2,0
59.85,14,0,0.22,0.22,5,0,2,2,2,0
2.72,13,5.5,93.26,98.76,5,14.27,2,2,2,1
3.89,3,0.94,0.01,0.95,5,0.1,2,2,2,0
3.89,16,0,0.08,0.08,5,0.06,6,2,2,1
3.89,15,1,0,1,5,0.36,2,2,2,1
21.61,22,0.02,0.66,0.68,5,0,2,2,2,0
3.41,22,5.15,44.67,49.82,5.5,21.07,2,2,2,1
3.89,36,10.96,41.47,52.43,5,35.21,2,2,4,1
2.37,9,0.31,0.69,1,5,0,2,2,2,0
2.72,29,4.9,98.71,103.61,5.5,82.99,2,2,4,1
3.41,22,4.73,60.22,64.95,5,69.76,2,2,2,1
